Estructura de generación (MW)

Hora,Eólica,Nuclear,Fuel/gas,Carbón,Ciclo combinado,Intercambios int,Enlace balear,Solar fotovoltaica,Solar térmica,Térmica renovable,Cogeneración y residuos,Andorra exportación,Marruecos exportación,Portugal exportación,Francia exportación,Francia importación,Portugal importación,Marruecos importación,Andorra importación,Hidráulica
"2024-12-01 06:50","4175","5095","0","419","4671","1508","-102","72","11","481","2107","0","0","-1161","0","2595","0","85","12","1753",
"2024-12-01 06:55","4195","5093","0","418","4683","1736","-102","72","11","481","2106","0","0","-959","0","2679","0","40","12","1826",
"2024-12-01 07:00","4180","5097","0","418","4635","1741","-102","72","11","484","2106","0","0","-851","0","2594","0","11","13","1938",
"2024-12-01 07:05","4122","5097","0","419","4577","1565","-102","72","11","483","2110","0","0","-929","0","2464","0","48","13","1886",
"2024-12-01 07:10","4212","5094","0","414","4394","2048","-102","72","11","483","2112","0","0","-836","0","2719","0","179","13","1784",
"2024-12-01 07:15","4249","5101","0","418","4678","1650","-102","72","10","483","2103","0","0","-719","0","2145","0","205","13","2024",
"2024-12-01 07:20","4258","5092","0","420","4831","1758","-102","72","10","483","2100","0","0","-743","0","2333","0","181","13","1963",
"2024-12-01 07:25","4280","5096","0","419","4859","1662","-102","72","9","483","2110","0","0","-703","0","2165","0","214","13","2010",
"2024-12-01 07:30","4334","5093","0","420","4891","1863","-102","72","9","471","2101","0","0","-633","0","2225","0","288","13","2085",
"2024-12-01 07:35","4317","5091","0","421","4903","2051","-102","72","10","471","2101","0","0","-663","0","2418","0","308","13","1969",
"2024-12-01 07:40","4267","5096","0","418","4962","1675","-102","72","10","471","2091","0","0","-749","0","2147","0","299","13","2151",
"2024-12-01 07:45","4198","5092","0","418","4915","2039","-101","72","11","468","2101","0","0","-726","0","2487","0","292","13","2168",
"2024-12-01 07:50","4132","5093","0","419","4937","2019","-101","72","11","469","2055","0","0","-693","0","2481","0","250","13","2260",
"2024-12-01 07:55","4063","5093","0","420","5002","2050","-102","72","11","469","2095","0","0","-783","0","2564","0","284","13","2290",
"2024-12-01 08:00","4039","5094","0","421","5033","1771","-102","73","11","465","2093","0","0","-786","0","2352","0","242","13","2416",
"2024-12-01 08:05","4005","5091","0","415","5147","1634","-102","77","11","462","2072","0","0","-612","0","1979","0","278","14","2722",
"2024-12-01 08:10","3949","5094","0","421","5087","1671","-102","85","11","462","2084","0","0","-741","0","2094","0","332","14","2649",
"2024-12-01 08:15","3807","5097","0","420","5143","1420","-102","104","11","459","2063","0","0","-784","0","1917","0","304","14","2663",
"2024-12-01 08:20","3743","5094","0","419","5101","1381","-102","137","11","453","2089","0","0","-714","0","1930","0","245","14","2802",
"2024-12-01 08:25","3746","5090","0","418","5045","1522","-102","191","11","453","2088","0","0","-593","0","1914","0","197","14","2654",
"2024-12-01 08:30","3662","5095","0","419","5025","1515","-102","276","11","449","2035","0","0","-429","0","1798","0","171","14","2842",
"2024-12-01 08:35","3814","5093","0","418","5022","1429","-102","372","11","448","2091","0","0","-466","0","1812","0","98","14","2718",
"2024-12-01 08:40","3829","5092","0","420","4920","1489","-102","489","11","448","2092","0","0","-591","0","1956","0","140","15","2632",
"2024-12-01 08:45","3903","5093","0","421","4917","1318","-102","639","11","448","2090","0","0","-668","0","1775","0","228","15","2707",
"2024-12-01 08:50","3925","5095","0","420","4903","1170","-102","818","11","448","2077","0","0","-631","0","1652","0","174","15","2769",
"2024-12-01 08:55","3888","5091","0","418","4893","1098","-102","1027","11","448","2082","0","0","-791","0","1819","0","84","15","2814",
"2024-12-01 09:00","3821","5092","0","420","4575","1064","-102","1266","12","448","2087","0","0","-1016","0","1990","0","98","15","3128",
"2024-12-01 09:05","3848","5094","0","419","4495","945","-102","1510","11","451","2081","0","0","-1057","0","1833","0","182","16","3359",
"2024-12-01 09:10","3865","5085","0","419","4397","823","-102","1759","11","451","2088","0","0","-1096","0","1670","0","274","16","3227",
"2024-12-01 09:15","3909","5089","0","419","4156","1193","-102","1972","11","451","2051","0","0","-1037","0","2039","0","207","16","3160",
"2024-12-01 09:20","3919","5094","0","419","4069","1103","-102","2228","11","451","2093","0","0","-1108","0","1996","0","232","16","3623",
"2024-12-01 09:25","3923","5092","0","419","4041","1070","-102","2561","11","451","2095","0","0","-1090","0","1979","0","178","17","3522",
"2024-12-01 09:30","3900","5088","0","428","4139","737","-102","2885","12","451","2094","0","0","-1049","0","1731","0","73","17","3231",
"2024-12-01 09:35","3907","5085","0","438","4077","1012","-102","3133","11","451","2082","0","0","-1066","0","2012","0","82","17","3173",
"2024-12-01 09:40","3938","5095","0","455","4210","923","-102","3297","11","451","2090","0","0","-1174","0","1990","0","115","17","3148",
"2024-12-01 09:45","3956","5088","0","455","4152","870","-101","3527","12","451","2083","0","-13","-1110","0","2058","0","0","17","3124",
